,model_name,smape,mape,predictions
1,Naive,63.66,93.39,"[770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998, 770.9999999999998]"
2,Linear Regression,44.0,56.41,"[1567.6184016247148, 2015.5342233308854, 1047.0784720204686, 1194.036533994373, 1302.0042283669648, 1727.1605569516946, 1336.1910880055216, 1496.3809608386512, 1479.2087607573, 1372.723021797992, 1245.5286869084048, 1789.8226405757287, 1064.6389626706953, 1526.4213993870942, 1990.398695876689, 1317.660261831623, 1192.9966815855164, 1362.4841731567017, 1713.5292576224015, 1342.0520325569123, 1677.701244027889, 1527.5296737684496, 1366.0983903948052, 1177.9005383682384, 1722.0187509324248, 1272.8472647031617, 1527.9324647574956, 2103.0516785179934, 1295.2784232711751, 1118.3460885875807, 839.1319259705399, 1675.2755186760205, 1234.860736725743, 1779.1468258751254, 1186.3079139151182, 1157.5700286794668, 913.2533797233735, 1687.260541946766, 986.2669169846829, 1707.2807025861418, 1952.8895383565318, 983.6323767307474, 1384.1954355906562, 1128.967087124343, 1807.643431686299, 1213.103562712408, 1749.3867928654693, 1368.5184739648776, 1334.5229958307355, nan]"
3,Elastic-Net,11.17,11.83,"[812.709086637424, 2779.141818206313, 2129.5487176916436, 1715.2212302085188, 2334.799710840878, 1750.5499335655013, 1379.5044370108678, 1805.3482507256008, 1615.2038482512949, 1596.636132557938, 1556.0604715289044, 1713.7587863322753, 1168.6490056372375, 1632.2371337641384, 2597.616809758013, 2087.147668326438, 1522.755477897928, 1673.0911804477598, 1920.1386666858639, 1762.630400030903, 1843.7596384591668, 1697.7836260354152, 1521.5244805780144, 1528.6554970082473, 1723.6259275096797, 1595.2815209780479, 1509.9874550564002, 2864.5434203370437, 2402.5933918743526, 1455.5605089836602, 1532.3009508507207, 2030.7206856254606, 1767.4678160871374, 1829.5637409442074, 1667.1914720431307, 1418.2000947023773, 1492.4343519667443, 1736.2776837335398, 1476.3761964581606, 1385.9895193344714, 2574.586065566545, 2170.532392215982, 1529.9025518182762, 1733.8641979221613, 1986.4778249045785, 1787.383306883686, 1745.822095700128, 1554.7153911539665, 1656.8152101409771, nan]"
4,Random Forest,43.97,56.36,"[1013.2604664472951, 1457.986408205701, 1361.8170966561397, 1050.3396342713015, 1102.3936175380345, 1302.8904768870186, 1362.6711737179655, 1401.2201062576482, 1392.6731899517315, 1124.8760163475588, 1150.7303556332722, 1191.1636056332725, 1132.410835431253, 1144.5617640026812, 1452.3846455794376, 1378.155670471212, 1085.5106727328396, 1101.8138953158127, 1323.269401129443, 1356.4745070512986, 1401.8089951465365, 1370.7059677295103, 1110.2043496808915, 1132.5730222999389, 1168.389855633273, 1132.410835431253, 1144.5617640026812, 1575.8638861393158, 1379.1455795621212, 1054.5708762099187, 1047.79548768178, 1274.2950692529867, 1308.312675174842, 1402.201087512504, 1374.9738176712344, 1072.1784420468596, 1067.2258051420972, 1070.610920582213, 1038.434030236448, 1073.4272921412094, 1449.7779832417752, 1350.9554367049795, 1092.1855060661733, 1105.2830619824795, 1330.0069011294438, 1359.9436737179656, 1401.2201062576482, 1392.1631899517324, 1115.9518496808914, nan]"
5,XGBoost,49.22,65.29,"[623.4194946289065, 1554.3332519531252, 1351.9628906250002, 978.3378295898439, 919.9973144531252, 1322.675537109375, 1161.0214843750005, 1744.0310058593745, 1741.3732910156248, 1028.355590820313, 984.7311401367186, 960.9451293945309, 920.2589721679688, 935.7629394531247, 1558.561645507813, 1386.6628417968752, 994.3835449218752, 935.0638427734378, 1317.8090820312505, 1161.0214843750005, 1744.3908691406252, 1741.3732910156248, 1028.1435546874998, 954.8305664062505, 960.9451293945309, 920.2589721679688, 935.7629394531247, 2405.4216308593745, 1472.821044921875, 977.983276367188, 922.2283325195315, 1232.9645996093745, 1141.6840820312505, 1736.0487060546875, 1741.146850585937, 1028.0465087890627, 954.8005371093749, 960.9451293945309, 920.2589721679688, 935.7629394531247, 1557.9578857421877, 1386.6628417968752, 994.3835449218752, 935.0638427734378, 1317.8090820312505, 1161.0214843750005, 1744.0310058593745, 1741.3732910156248, 1028.355590820313, nan]"
6,Light GBM,48.19,63.49,"[1420.0432614184488, 1639.7175524672732, 1683.9492006134715, 1272.861953073941, 1480.7754544435065, 1582.256457162163, 1378.7313219586335, 1709.8283319472876, 1543.3927813600992, 974.5625053785889, 1199.9211548934945, 1468.2480051727007, 1042.7400908746727, 1346.8569591156331, 2015.991803103864, 1858.1958046482275, 1315.8899612402108, 1475.2737743502864, 1556.6103306079176, 1360.5480853290117, 1726.3638457123127, 1490.0740153704069, 945.9696165133973, 1219.892253879757, 1428.881560198438, 1078.069157891214, 1473.7470420771397, 2015.4885264616428, 1848.1403364489815, 1147.5248211477851, 1234.9498407931442, 1301.785048819105, 1053.8703242442168, 1474.718830798365, 1334.9236386018197, 866.4322045036158, 1117.9003587811055, 1256.7909418081022, 1046.5946036701112, 1275.1914149105562, 1993.1484517415504, 1803.0812369581365, 1339.1909662623204, 1499.786888730775, 1593.0710162476166, 1398.702420944896, 1768.9104663457895, 1490.0740153704069, 963.6990445525026, nan]"
